name,country,city,zipcode,mv
Corcoran Sawyer Smith,,"Princeton, NJ",8540.0,
,,"Fort Collins, CO",80521.0,
The National Exemplar ,,"Cincinnati, OH",45202.0,
"Abrams Fensterman, LLP",,"New Hyde Park, NY",11040.0,
,,"Burlington, IA",52601.0,
Downtown Raleigh Alliance,,"Raleigh, NC",27601.0,
Raw Cereal,,United States,,
,,"San Francisco, CA",94101.0,
Children's Nebraska,,"Omaha, NE",68102.0,
Bay West Church,,"Palm Bay, FL",32905.0,
"Glastender, Inc.",,"Saginaw, MI",48601.0,
PGAV Destinations,,"St Louis, MO",63367.0,
,,"Kingsport, TN",37660.0,
,,"San Mateo, CA",94401.0,
Staffing Theory,,United States,,
OsteoStrong,,"Anchorage, AK",99501.0,
CLEVELAND KIDS BOOK BANK,,"Cleveland, OH",44102.0,
,,"Providence, RI",2903.0,
United Methodists of Greater New Jersey,,Greater Philadelphia,,
Shannon Waltchack,,"Birmingham, AL",35203.0,
Premier Family Clinic,,"Atlanta, GA",30303.0,
,,"Maumee, OH",43537.0,
,,Los Angeles Metropolitan Area,,
,,"Mineral Wells, TX",76067.0,
,,"Stuart, FL",34994.0,
PRM-TAIWAN,,"Orlando, FL",32801.0,
GOYT,,"Denver, CO",80202.0,
,,"New Jersey, United States",,
,,"Erie, PA",16501.0,
Harlingen Country Club,,"Harlingen, TX",78550.0,
"REquipment Durable Medical Equipment and Assistive Technology Reuse Program, Inc.",,"Woburn, MA",1801.0,
Pierce Refrigeration,,"West Bridgewater, MA",2379.0,
Fidelity National Title / Law Firm,,"Phoenix, AZ",85003.0,
ABME,,United States,,
Atrium Centers,,"Grayling, MI",49738.0,
Revesco Properties,,"Denver, CO",80202.0,
Recruitment Design,,"McLean, VA",22101.0,
Washington State University,,"Pullman, WA",99163.0,
Headquarters Barbershop,,"Grafton, WI",53024.0,
ADEPT HRM Solutions,,"Concord, NC",28025.0,
STL Fertility,,"St Louis, MO",63367.0,
Food Bank of Alaska,,"Anchorage, AK",99501.0,
Jung & Vassar PC Attorneys At Law A Law Corp,,"Kailua-Kona, HI",96740.0,
,,"Brooklyn, NY",11201.0,
Orlando Credit Union,,"Orlando, FL",32801.0,
"Blackland Home Inspections, PLLC",,Dallas-Fort Worth Metroplex,,
,,"Tucson, AZ",85701.0,
,,"Houston, TX",77002.0,
,,"Hackensack, NJ",7601.0,
Einbinder & Dunn LLP,,"New York, NY",10001.0,
Kate Meadows Writing and Editing,,"South Dakota, United States",,
Tracker,,United States,,
POSHI,,"Miami, FL",33122.0,
"TURNER HYDRAULICS, INC",,"Lancaster, PA",17601.0,
,,"Los Angeles, CA",90001.0,
,,"Macon, GA",31201.0,
,,"Austin, TX",78701.0,
,,"New York, NY",10001.0,
Genlabs Corp,,"Chino, CA",91708.0,
,,"New York, United States",,
