type,ev
401(k),77272
401(k),77165
Stock Options,121199
Stock Options,196250
401(k),154631
Paid Time Off,165956
Health Insurance,133238
Stock Options,145943
Health Insurance,194405
401(k),166068
401(k),79931
401(k),197021
401(k),131983
401(k),127782
401(k),95051
Health Insurance,53089
401(k),150215
Paid Time Off,174616
401(k),192206
401(k),113446
Health Insurance,151111
401(k),164218
Stock Options,156663
Health Insurance,194398
Remote Work,168460
Paid Time Off,175008
Remote Work,80742
401(k),197621
Remote Work,192187
Stock Options,50640
Paid Time Off,81093
401(k),191467
Paid Time Off,50596
401(k),67577
401(k),106421
401(k),122996
401(k),132459
Remote Work,133306
401(k),70688
Health Insurance,122861
Remote Work,179058
Remote Work,123130
Health Insurance,193522
Remote Work,94717
Remote Work,138507
Stock Options,54054
401(k),190638
Health Insurance,172039
401(k),111460
Remote Work,168486
401(k),173544
Stock Options,111295
Remote Work,195036
401(k),89063
401(k),144339
Stock Options,151825
401(k),103816
Stock Options,81953
401(k),169485
Paid Time Off,73867
401(k),96185
401(k),54575
401(k),158684
Paid Time Off,172766
Health Insurance,191166
Paid Time Off,103612
401(k),125549
401(k),181687
Remote Work,86640
Stock Options,162468
401(k),110013
401(k),123296
Remote Work,189198
Health Insurance,57618
Health Insurance,199210
401(k),155318
401(k),91583
401(k),163713
Health Insurance,106693
401(k),94224
401(k),126192
401(k),190940
Health Insurance,168056
401(k),178709
Health Insurance,123567
Health Insurance,69578
401(k),87085
401(k),100810
401(k),114366
401(k),105531
401(k),110448
Remote Work,138154
401(k),164904
401(k),198104
401(k),60470
Health Insurance,172153
Paid Time Off,83530
401(k),160022
401(k),114319
Remote Work,82034
Paid Time Off,195257
Health Insurance,117361
Remote Work,155052
401(k),151399
Health Insurance,90746
401(k),126093
401(k),107879
Health Insurance,123987
Paid Time Off,175983
401(k),153143
Stock Options,82388
401(k),57227
Health Insurance,181622
Remote Work,169683
401(k),103839
401(k),161100
Remote Work,58066
Health Insurance,182467
401(k),144818
Remote Work,191833
Stock Options,137227
Remote Work,135131
Remote Work,55186
Health Insurance,187939
Health Insurance,67060
401(k),112484
Remote Work,114408
Health Insurance,155853
Remote Work,78420
401(k),165467
Remote Work,92383
401(k),176341
Stock Options,156712
Remote Work,191481
401(k),138109
Remote Work,51354
401(k),149000
401(k),126686
Paid Time Off,108499
401(k),117742
Remote Work,143627
Health Insurance,129648
Stock Options,173650
401(k),152710
401(k),122642
Health Insurance,126614
Remote Work,113741
401(k),92503
Paid Time Off,114609
401(k),115975
401(k),93227
Paid Time Off,54628
401(k),148636
401(k),172052
401(k),59099
Paid Time Off,111111
Remote Work,135440
Paid Time Off,86553
401(k),94441
401(k),72987
401(k),68180
Stock Options,94610
Health Insurance,51041
401(k),189480
Remote Work,95729
401(k),143503
Health Insurance,150592
Health Insurance,115705
Paid Time Off,62838
401(k),81554
Remote Work,148222
401(k),55444
Health Insurance,166949
Stock Options,177188
401(k),163050
401(k),177184
401(k),85683
401(k),149580
Paid Time Off,89872
401(k),146302
Stock Options,125010
Stock Options,108855
401(k),113864
401(k),64292
Health Insurance,147205
Stock Options,100244
Stock Options,135742
401(k),133776
Remote Work,52720
401(k),121463
401(k),129002
401(k),158281
Health Insurance,132934
Health Insurance,83830
401(k),74637
Stock Options,129229
Stock Options,66037
401(k),119774
401(k),72617
401(k),191124
Health Insurance,89775
Remote Work,187636
401(k),132785
Paid Time Off,101585
401(k),87933
Remote Work,51085
401(k),126130
Stock Options,163615
Paid Time Off,143033
401(k),68506
401(k),119125
401(k),77463
Paid Time Off,110162
401(k),72259
401(k),91115
Paid Time Off,93552
Paid Time Off,128833
401(k),129140
Stock Options,189998
401(k),169119
Remote Work,191679
401(k),192381
401(k),127601
401(k),114874
Health Insurance,61834
401(k),143044
401(k),120261
401(k),174940
401(k),162278
401(k),77313
401(k),150416
401(k),158899
401(k),139158
Remote Work,103023
Health Insurance,119166
401(k),76317
401(k),169097
Health Insurance,61702
Stock Options,148762
Remote Work,165684
401(k),136682
401(k),55861
401(k),52716
Paid Time Off,83108
401(k),135192
Remote Work,104324
Paid Time Off,53728
401(k),106513
Paid Time Off,187138
Paid Time Off,124926
Stock Options,123760
401(k),140993
Paid Time Off,110914
Paid Time Off,118019
401(k),122093
401(k),63072
Health Insurance,196682
401(k),96307
Remote Work,106473
Remote Work,122768
401(k),62904
401(k),148648
Remote Work,59659
401(k),198015
401(k),95033
401(k),103744
401(k),158607
Health Insurance,156228
401(k),147529
Paid Time Off,166203
Remote Work,123806
401(k),112753
Paid Time Off,50830
401(k),94236
Remote Work,90052
401(k),117372
401(k),115354
Stock Options,50283
Paid Time Off,185537
Paid Time Off,110659
Remote Work,170729
401(k),92703
401(k),113273
401(k),134883
Stock Options,68791
Health Insurance,70116
Stock Options,124471
Stock Options,146433
401(k),84088
401(k),178629
401(k),88813
401(k),81212
Health Insurance,80235
Stock Options,52931
Paid Time Off,112713
401(k),168129
401(k),145585
Health Insurance,165629
401(k),127610
Paid Time Off,119104
Remote Work,58279
Health Insurance,140513
401(k),169301
Paid Time Off,52230
401(k),61908
401(k),75848
Paid Time Off,124216
Stock Options,175541
401(k),134601
401(k),180619
Remote Work,109381
Remote Work,179206
Health Insurance,148362
401(k),125627
401(k),183862
401(k),78626
401(k),84500
Stock Options,131370
Paid Time Off,60183
401(k),196081
401(k),51395
401(k),148489
401(k),170941
401(k),107561
401(k),77304
401(k),56905
401(k),163066
401(k),76574
Stock Options,181532
401(k),62832
401(k),145106
401(k),135982
Stock Options,140191
Health Insurance,82304
Remote Work,158495
Health Insurance,165879
401(k),115255
Remote Work,53757
401(k),68672
401(k),160951
401(k),172440
Remote Work,65967
Paid Time Off,159216
401(k),64845
401(k),119689
401(k),165656
Paid Time Off,144885
401(k),182995
Health Insurance,113320
Stock Options,62040
401(k),101457
401(k),152493
401(k),128686
Stock Options,67555
Stock Options,158735
401(k),129798
401(k),194560
Health Insurance,80027
401(k),56358
Paid Time Off,126002
401(k),129513
401(k),75030
Remote Work,150923
401(k),62488
401(k),149835
Paid Time Off,94271
Health Insurance,118548
Stock Options,107588
Stock Options,179817
401(k),51288
Remote Work,161839
401(k),131217
401(k),148099
Remote Work,111127
401(k),168602
401(k),92212
Stock Options,113607
401(k),169973
401(k),71445
401(k),72891
401(k),55450
Paid Time Off,199610
Remote Work,190606
Stock Options,136498
401(k),198504
401(k),58013
401(k),174294
401(k),101481
Paid Time Off,112932
401(k),101097
Stock Options,105877
401(k),120875
401(k),77789
Health Insurance,156691
Remote Work,105258
401(k),156908
Health Insurance,69126
401(k),80789
Paid Time Off,182742
Stock Options,152213
401(k),105866
Health Insurance,52695
Stock Options,188147
Paid Time Off,82482
Remote Work,164005
401(k),186549
401(k),125815
Health Insurance,149317
Stock Options,57993
Health Insurance,175974
